Time, Ch01, Ch02, Ch03, Ch04, Ch05, Ch06, Ch07, Ch08, Ch09
0,-3764.81005859375,3711.40380859375,1870.2210693359375,4164.08349609375,5046.05078125,-5789.54150390625,1524.7884521484375,-6169.56005859375,0
0.004,-11096.107421875,10879.8515625,5340.43359375,12247.458984375,14496.9404296875,-16946.6875,4167.51025390625,-18039.90234375,0
0.008,-14459.1435546875,13600.3544921875,6319.0654296875,15446.7470703125,17388.365234375,-21100.359375,4389.0068359375,-22456.353515625,0
0.012,-14950.4423828125,11459.154296875,4848.71875,13351.8125,13650.724609375,-17771.015625,2461.903076171875,-18656.296875,0
0.016,-16416.6875,7328.22900390625,2630.751220703125,9252.7890625,7608.7529296875,-11506.3701171875,106.16365814208984,-11134.271484375,0
0.02,-15625.2109375,1370.3359375,-218.76535034179688,3334.014404296875,-466.729736328125,-2213.19873046875,-2458.740966796875,-510.1826171875,0
0.024,-11511.646484375,-3356.891845703125,-2217.157470703125,-1088.91015625,-6313.79833984375,5278.65087890625,-3882.737548828125,7198.26171875,0
0.028,-7227.55615234375,-4301.70849609375,-2284.348876953125,-1672.1549072265625,-6627.52099609375,6596.6123046875,-3296.537109375,7696.6552734375,0
0.032,-3248.337158203125,-2884.481201171875,-1362.619873046875,-515.6312255859375,-3827.47802734375,4086.0859375,-1776.3193359375,4012.078125,0
0.036,1385.6771240234375,-1874.5,-867.49462890625,-407.67764282226562,-1942.9820556640625,2280.110107421875,-731.73260498046875,1194.291015625,0
0.04,4606.13916015625,-1886.0833740234375,-963.4091796875,-1525.5728759765625,-1717.125,2075.5234375,-359.22256469726562,575.87762451171875,0
0.044,4948.3544921875,-2138.245361328125,-1122.5751953125,-2681.13232421875,-1957.527099609375,2334.014892578125,-238.7952880859375,1016.5061645507812,0
0.048,4064.491455078125,-2337.61865234375,-1177.1624755859375,-3277.629638671875,-2222.204345703125,2754.362548828125,-203.75375366210938,1783.322021484375,0
0.052,3511.18505859375,-2268.348876953125,-1068.58203125,-3140.543701171875,-2186.713623046875,2895.337158203125,-143.63754272460938,2119.928466796875,0
